univ_prod,bdesc,descriptio,size,vintage,univ_cat,lwbn,bestbot,date,botpercase,secpack,wholesaler,prod_item,upc,case_price,bot_price,front_nyc,postoff,qty1,d_type1,discount1,qty2,d_type2,discount2,qty3,d_type3,discount3,qty4,d_type4,discount4,qty5,d_type5,discount5,qty6,d_type6,discount6,qty7,d_type7,discount7,qty8,d_type8,discount8,qty9,d_type9,discount9,div1,div2,div3,div4,div5,div6,div7,div8,div9,div10,div11,div12,asst_size,cale_shelf,truevint,fullcase,type_desc,deposit,whole_name
"010SK","LEALTANZA  RIOJA CRIANZA","LEALTANZA CRIANZA",750,"","645","W",13.4100,01/01/2021,12,0,"EDER","00018","",160.9200,16.99,25.4900,18.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,"","","","","","","","","","","","","",25.49,"",F,"Spanish Still Wine",0.00,"Eder Brothers"
"0G4LA","ONYX  MOONSHINE PRIVATE BARREL SECRET STASH","ONYX BARREL DR AGED",750,"","140","L",46.3330,01/01/2021,12,0,"GOODMA","00021","",556.0000,46.41,69.9900,102.9200,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,"","","","","","","","","","","","","",69.99,"",F,"Corn Whiskey",102.92,"Allan S. Goodman Inc."
"0G155","ONYX  MOONSHINE 111@","ONYX ONE ELEVEN *2*",375,"","140","L",16.0000,01/01/2021,24,0,"GOODMA","00023","",384.0000,16.04,20.9900,0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,0," ",0.0000,"","","","","","","","","","","","","",20.99,"",F,"Corn Whiskey",0.00,"Allan S. Goodman Inc."
